	quote	quotee	quoteeAffiliation	quoteeType	articleTopic	articleSim	quoteTopic	quoteSim
7271	"â€œPatient stratification based on eosinophil levels has been an important advancement in the treatment of asthma,â€ù said Michael Hayden, M.D., Ph.D., President of Global R&D and Chief Scientific Officer at Teva Pharmaceutical Industries Ltd. â€œWe are very encouraged by the outcome of todayâ€™s FDA Advisory Committee meeting, which brings us one step closer to potentially providing a new, targeted treatment option for a specific group of patients with inadequately controlled asthma and evidence of ongoing eosinophilic inflammation."	Michael Hayden	Global R&D	PERSON	vision	0.838541667	vision	0.7578125
7305	"â€œBecause of favorable eligibility rules, children of refugees participate in public benefit programs at higher rates than do other children of immigrants, even though children of refugees have a lower poverty rate,â€ù the report stated.. ."	authority	authority	authority	children	0.925480769	children	0.7578125
7306	"""The FDA's estimate that 1 in every 458 women having surgery for presumed fibroids actually has LMS appears to overstate the risk,"" said William Parker, MD, director of minimally invasive gynecologic surgery at UCLA Medical Center, Santa Monica.. ."	the Food and Drug Administration	the Food and Drug Administration	ORG	diabetes	0.795036765	diabetes	0.7578125
7307	"""In our view, the numbers do not support the FDA's estimated prevalence of LMS among women having surgery for presumed fibroids and those at risk for morcellation of a leiomyosarcoma, but the recent attention on hidden LMS may help improve the way we treat both benign fibroids and these cancers,"" Parker said.. ."	William Parker	unknown	PERSON	diabetes	0.795036765	diabetes	0.7578125
7308	"â€œThe development and approval of several PARP inhibitors has been an important advance in the treatment of ovarian cancer,â€ù said Elise Kohn, M.D., head of Gynecologic Cancer Therapeutics in NCIâ€™s Division of Cancer Treatment and Diagnosis.. ."	Elise Kohn	Gynecologic Cancer Therapeutics	PERSON	cancer	0.728600294	cancer	0.80625
7309	"â€œRecurrent ovarian cancer remains a very difficult disease to treat, even among women who carry, or whose tumors have a mutation in the BRCA genes,â€ù said Robert L. Coleman, professor and deputy chairman, vice chair, Clinical Research, Ann Rife Cox Chair in Gynecology, Department of Gynecologic Oncology and Reproductive Medicine at University of Texas MD Anderson Cancer Center in Houston and one of the principal investigators in the ARIEL clinical trial program.. ."	Robert L. Coleman	Clinical Research	PERSON	cancer	0.892361111	cancer	0.7578125
7310	"More than four in five primary age school children have said they would like to visit a farm to find out more about where their food comes from, a new survey from the British Nutrition Foundation has revealed.The NFU says that these statistics, released for Healthy Eating Week, show that food and farming is a subject that people of all ages can engage with and can help them to make more informed choices about the food they eat.The survey results also include:Â·27% of primary school children said they had never helped to cook a meal at home;Â·39% of secondary school children said they would be more likely to buy or eat food if it was produced in the UK;Â·63% of secondary school children use the internet to find out more about how food is produced;Â·8% of secondary school children have never cooked a meal from scratch; (27% havenâ€™t grown food before)Â·70% of teachers are more likely to buy or eat food produced in the UK.NFU Deputy President Minette Batters said: â€œThese results show that people of all ages involved in education have an interest in food and farming but there is still so much more to be done.â€œThatâ€™s why weâ€™re delighted to get behind British Nutrition Foundationâ€™s Healthy Eating Week."	the British Nutrition Foundation	the British Nutrition Foundation	ORG	children	0.87890625	children	0.838541667
7314	"your calorie targets for weight loss), whey or vegan protein powder can be a smart addition to your eating plan,â€ù says Berenc."	Matt Berenc	unknown	PERSON	fat	0.742981438	fat	0.7578125
7315	"48 Clean #78 Studies on Weight-Loss A 10-Week Weight-Loss Diet check-in, plus a look at what Scientific Studies say about Weight-Loss Success."	Scientific Studies	Scientific Studies	ORG	fat	0.727177097	fat	0.7578125
7318	"Information presented in April 2017 at the American Association of Cancer Research annual meeting, showed that women with metastatic breast cancer who were treated with Reolysin and Taxol (paclitaxel) lived considerably longer than those receiving Taxol alone.. ."	the American Association of Cancer Research	the American Association of Cancer Research	ORG	cancer	0.946180556	cancer	0.80625
7319	"SANTA MONICA, Calif., May 02, 2016 -- Kite Pharma, Inc. (Nasdaq:KITE) (""Kite""), a clinical-stage biopharmaceutical company focused on developing engineered autologous T cell therapy (eACTâ„¢) products for the treatment of cancer, today announced that the U.S. Food and Drug Administration (FDA) granted orphan drug designations to Kite's lead product candidate, KTE-C19, for the treatment of primary mediastinal B cell lymphoma (PMBCL), mantle cell lymphoma (MCL), follicular lymphoma (FL), acute lymphoblastic leukemia (ALL) and chronic lymphocytic leukemia (CLL)."	KITE	Kite Pharma	PERSON	cancer	0.820628057	cancer	0.788160387
7320	"â€œConsumer demand for fish and seafood is soaring in China and the Asia-Pacific region, and the Asian Seafood Exposition is the gateway to this important and lucrative seafood market,â€ù said Larkin.. ."	Mary Larkin	unknown	PERSON	fish	0.858630952	fish	0.80625
7325	[iv] Publicly available annual export reports complied by the provincial Mining Division in Bukavu show that all of Alfa Gold DRCâ€™s legal gold exports from South Kivu in 2014 and 2015 were exported to Alfa Gold Dubai.. .	authority	authority	authority	milk	0.892314189	milk	0.7578125
7366	"Besides the Leukemia & Lymphoma Society, the Boston-based Dana-Farber Cancer Institute announced it would move its gala to the Breakers."	Dana-Farber Cancer Institute	Dana-Farber Cancer Institute	ORG	cancer	0.72125	cancer	0.7578125
7367	Mr Sheha Mjaja Juma Director General of the 'Zanzibar Environment Management Authority (ZEMA) said that adaptation to climate change is crucial for reducing the risk and damage from current and future impacts of climate change in a cost-effective manner and to exploit potential benefits stemming from climate change.. .	Zanzibar Environment Management Authority	Zanzibar Environment Management Authority	ORG	water	0.907254273	water	0.80625
7369	"Ms Talib said, as part of implementation of theZanzibar Zanzibar Climate Change Strategy, in January 2015, experts from the Netherlands in collaboration with Department of Environment Office visited different areas affected by climate change.. ."	Talib	unknown	PERSON	water	0.907254273	water	0.7578125
7372	"Prof Ezzati said: ""Our research has shown that over 40 years we have transitioned from a world in which underweight prevalence was more than double that of obesity, to one in which more people are obese than underweight.. ."	Prof Ezzati	unknown	PERSON	obesity	0.858446336	obesity	0.7578125
7373	"Prof Ezzati said: ""Our research has shown that over 40 years we have transitioned from a world in which underweight prevalence was more than double that of obesity, to one in which more people are obese than underweight.. ."	Prof Ezzati	unknown	PERSON	obesity	0.863335217	obesity	0.7578125
7379	"LOS ANGELES, CA / ACCESSWIRE / April 4, 2017 / Oxis International Inc. (OTCQB:OXIS and Euronext Paris OXI.PA) announced today that the Food and Drug Administration has cleared the way for the Companyâ€™s wholly owned subsidiary, Oxis Biotech Inc., to begin a FDA Phase 2 clinical trial for its promising cancer treatment OXS-1550 in the treatment of lymphoma and leukemia.. ."	CA	CA	ORG	cancer	0.703928216	cancer	0.7578125
7382	"Therefore, policies to adapt and mitigate the effects of climate change are essential to prevent the disastrous effect of food security and livelihoods of rural people,â€ù said Flavia Munaaba, minister of state for Water and Environment.. ."	Flavia Munaaba	unknown	PERSON	water	0.847543679	water	0.7578125
7383	"Leaders from General Mills, The Nature Conservancy, the Soil Health Institute and the Soil Health Partnership announce a collaborative effort to advance soil health on Americaâ€™s farms and ranches, paving the way for measurable economic and environmental gains for farmers, businesses and communities for generations to come.. ."	General Mills	General Mills	ORG	water	0.901039069	water	0.7578125
7384	"Leaders from General Mills, The Nature Conservancy, the Soil Health Institute and the Soil Health Partnership announce a collaborative effort to advance soil health on Americaâ€™s farms and ranches, paving the way for measurable economic and environmental gains for farmers, businesses and communities for generations to come.. ."	General Mills	General Mills	ORG	water	0.882896201	water	0.7578125
7410	"CHESTERBROOK, Pa., Dec. 20, 2016 /PRNewswire/ -- Animas Corporation, part of the Johnson & Johnson Diabetes Care Companies (JJDCC), announced today that it has received U.S. Food and Drug Administration (FDA) approval, and Health Canada's authorization for the sale of the OneTouch Vibeâ„¢ Plus Insulin Pump and Continuous Glucose Monitoring (CGM) System for the treatment of patients age two and older living with diabetes."	CHESTERBROOK	CHESTERBROOK	ORG	diabetes	0.918171961	diabetes	0.80625
7412	"By having constant access to glucose readings on their pump and now their smart devices, the OneTouch Vibeâ„¢ Plus will give people with diabetes greater flexibility and discretion,"" said Brian L. Levy, MD, FACE, Chief Medical Officer of JJDCC and Vice President of Worldwide Clinical Affairs for LifeScan, Inc. ""This unique connectivity combined with the OneTouch Vibeâ„¢ Plus System's patented technology that delivers insulin with exceptional accuracy and precision will help patientsâ€”even the most insulin-sensitive patientsâ€”stay in their target glucose range.""."	Brian L. Levy	FACE	PERSON	diabetes	0.918171961	diabetes	0.838541667
7414	"""This system will offer kids living with diabetes a sense of freedom and will provide loved ones and caregivers with an insulin delivery and monitoring system that they can trust,"" says John Wilson, Worldwide Vice President of Insulin Delivery, Animas Corporation.. ."	John Wilson	Worldwide Vice	PERSON	diabetes	0.918171961	diabetes	0.7578125
7417	Eighties icon Debbie Gibson impresses on Loose Women with her ageless appearance Boys just wanna have fun Towieâ€™s Jon Clark shows off recent weight loss on night out with the lads in Marbella Flashback Claire Richards Steps back in time by reviving her 90s haircut and maintains her impressive weight loss â€˜Iâ€™ve always been the pigâ€™ Tina Malone cries as she fits in to size SIX dress following dramatic weight loss 'BUY A GASTRIC BAND NOT FAGS' Tina Malone shocks This Morning viewers as she opens up about new size 6 figure.	Debbie Gibson	Loose Women	PERSON	fat	0.703125	fat	0.7578125
7421	"J&D Produce Inc. announced Wednesday that the possibility of cross contamination prompted it to also recall arugula, beets, collards, mustard, daikon, dill, kohlrabi, chard, kale, mint, turnips and leeks shipped to 16 states and two Canadian provinces.. ."	J&D Produce Inc.	J&D Produce Inc.	ORG	potatoes	0.834791175	potatoes	0.716801933
7422	"In the future, Tracy says, he's hoping to create sweet corn varieties that are less prone to infestation by insects such as the corn ear worm."	Bill Tracy	unknown	PERSON	water	0.751116071	water	0.7578125
7423	"â€œAtlantic salmon populations including our endangered Gulf of Maine fish are hanging on by a thread â€” they canâ€™t afford additional threats posed by GE salmon,â€ù said Ed Friedman from Friends of Merrymeeting Bay, one of the parties who successfully petitioned to classify most Maine Atlantic salmon as endangered."	Ed Friedman	Maine Atlantic	PERSON	fish	0.829988374	fish	0.80625
7425	"â€œWeâ€™re thrilled to offer customers a local option in our meat department with the freshest cuts of beef straight from our own backyard,â€ù said Jim McLallen, Whole Foods Marketâ€™s Florida Regional Meat Coordinator in the news release."	Jim McLallen	Whole Foods Market	PERSON	meat	0.803125	meat	0.7578125
7426	"Uoyaâ€™s â€œBig Eye Tuna Loins,â€ù vacuum-packed farmed raw Yellowtail Fillets, and Fresh Mackerel were said to be adulterated for insanitary conditions that might cause them to be rendered injurious to health.FDA says the regulations require Uoya Inc. to conduct a hazard analysis for each fish or fish product for food safety hazards that are likely to occur."	Fresh Mackerel	unknown	PERSON	fish	0.752604167	fish	0.80625
7428	"There has been some concerns in the past that elevated mercury levels in fish and frequent consumption thereof might counteract the health benefits of fish, but this report stated that the study found the level of mercury in consumers was too low to induce harm, and the number of benefits that come along with fish consumption far outweigh the potential risks.. ."	authority	authority	authority	fish	0.734375	fish	0.838541667
7429	"The United Nations Childrenâ€™s Emergency Fund (Unicef) says while South African children arenâ€™t severely affected by food insecurity due to the current drought, the countryâ€™s inability to produce maize does have an impact on the health of children in other Southern African Development Community (SADC) countries.. ."	Unicef	The United Nations Childrenâ€™s Emergency Fund	PERSON	children	0.861607143	children	0.7578125
7430	"UK meat exporters are preparing to break into the lucrative US market, after receiving training on US beef and lamb import regulations last week, the Agriculture and Horticulture Development Board (AHDB) revealed.. ."	Agriculture	Agriculture	ORG	meat	0.946180556	meat	0.7578125
7431	"â€œI feel like low-fat food they take out the good fat in it, so I do mostly full-fat,â€ù Maria Batista said.. ."	Maria Batista	unknown	PERSON	fat	0.831180663	fat	0.7578125
7432	"So you can have protein and carbs, you can have protein and fat, but you canâ€™t have fat and carbs,â€ù Dr. Aronne said.. ."	Louis Aronne	unknown	PERSON	fat	0.831180663	fat	0.80625
7433	"Indeed, studies show that up to half of all patients who had immediate reactions to penicillin will no longer have allergic antibodies to penicillin after five years, and up to 80 percent will no longer have allergic antibodies to penicillin after 10 years.. ."	authority	authority	authority	chicken	0.76264881	chicken	0.7578125
7438	"Rain causes wheat crop disaster in France * Damage feared in Germany, Poland * EU wheat export supplies reduced HAMBURG, Aug 11 Rain this summer has fallen at the worst possible time for west European wheat farmers, disrupting the harvest and hitting ripe grain plants, which could sprout and lose grain quality, experts said on Thursday."	authority	authority	authority	rice	0.925480769	rice	0.7578125
7443	"Global food production could fall by as much as 35-40 per cent without them, the scientists have warned.In recent weeks and days the use of pesticides has been in the headlines.From their potential impact on honey bees (and other pollinator species) to a steep decline in the number of UK butterflies , there is a growing call for a total ban on pesticides from environmental groups.But ahead of World Food Day (Sunday 16th October) food sustainability and agriculture experts at the University of Hertfordshire say pesticides have an important role to play in ensuring that there is enough safe and healthy food for the worldâ€™s population.The number of people in the world is growing with numbers expected to reach 9.6 billion by 2050.To meet such a heavy demand in world population, agriculture and food systems 'need to adapt' to the adverse effects of climate change and other threats by becoming more 'resilient, productive and sustainable', scientists at the university said.Professor Kathleen Lewis, Professor of Agricultural Chemistry at the University of Hertfordshire, says the use of pesticides is 'imperative' to that goal.And that their continued use is 'one of the only ways' that farmers can ensure the wellbeing of local ecosystems and rural populations.She said: ""Without pesticides it has been estimated that global food production could fall by as much as 35-40%, increasing the cost of food and threatening food security."	authority	authority	authority	water	0.84375	water	0.78125
7447	"The Keep Antibiotics Working Coalition was happy to see that FDA has released the long-awaited guidelines but ""our fear, however, is that there will be no reduction in antibiotic use as companies will either ignore the plan altogether or simply switch from using antibiotics for routine growth promotion to using the same antibiotics for routine disease prevention,"" said the group's Steven Roach.. ."	Steven Roach	unknown	PERSON	chicken	0.734375	chicken	0.7578125
7452	"Mercy works with eight to nine suppliers, Deutmeyer said, to purchase everything from greens â€” including kale, spinach and lettuce â€” to local tomatoes, squash and onions as well as meats and dairy."	Andy Deutmeyer	unknown	PERSON	potatoes	0.778804478	potatoes	0.78125
7454	"On July 18, 2017, Englandâ€™s Department of Health (DoH) announced its long-awaited tobacco control plan to cut smoking rates, which will include an emphasis on the important role e-cigarettes and similar devices can play in smoking cessation and reducing harm."	Englandâ€™s Department of Health	Englandâ€™s Department of Health	ORG	cancer	0.930803571	cancer	0.7578125
7457	"MUMBAI: Nestle said Friday that laboratory tests ordered by an Indian court had found its popular Maggi noodles were safe to eat, paving the way for their return following a government ban.Indiaâ€™s food safety watchdog banned the noodles in June, saying lead levels exceeded statutory limits.But the Bombay High Court, the highest judicial body in the western city now known as Mumbai, overturned the ruling two months later and ordered fresh tests.â€œAll the 90 samples, covering six variants, tested by these laboratories are clear with lead much below the permissible limits,â€ù the Swiss food giantâ€™s Indian unit said in a statement.Nestle India, which has continued to sell the product in other countries, added that it hoped to return the brand to Indian stores as soon as possible, saying it had â€œalways maintained that Maggi noodles were safeâ€ù.â€œIn compliance with the orders of the Honâ€™ble Bombay High Court, we will now commence manufacture and will start selling only after the newly manufactured products are also cleared by the designated three laboratories,â€œ the statement read.â€œWe are committed to reintroduce our beloved Maggi noodles at the earliest,â€ù it added.Shares in Nestle India shares rose almost eight percent on the Bombay Stock Exchange following the news.The Food Safety and Standards Authority of India imposed a nationwide ban on Maggi noodles after inspectors found excessive levels of lead, as well as traces of flavour enhancer MSG (monosodium glutamate).It criticised the company for failing to include MSG in the list of ingredients.Nestle has said it does not use MSG in its Maggi products sold in India, but that glutamate is a naturally occurring substance and may be present in some of the ingredients.In August, the court in Mumbai called the ban â€œarbitraryâ€ù and said it violated the â€œprinciples of national justiceâ€ù.Nestleâ€™s Indian arm has estimated that its run-in with Indian regulators will cost them 3.2 billion rupees ($50 million).Nestle had sold the product for over three decades in India, and had 80 percent of the countryâ€™s instant noodle market before the ban."	Nestle	Nestle	ORG	obesity	0.7578125	obesity	0.7578125
7458	"TapImmune, Inc. (OTCMKT:TPIV) announced today that the U.S. Food & Drug Administration (FDA) has granted Fast Track Designation for its cancer vaccine TPIV 200 in the treatment of ovarian cancer.. ."	"TapImmune, Inc."	"TapImmune, Inc."	ORG	cancer	0.810174499	cancer	0.7578125
7464	"It may be that e-cigarettes are less addictive and less dangerous when it comes to cancer, but that doesnâ€™t make vaping safe, says Stanton Glantz, a professor at the University of California San Francisco who studies the effects of tobacco and nicotine."	Stanton Glantz	the University of California San Francisco	PERSON	cancer	0.871975806	cancer	0.7578125
7467	"The Wheat Lobby has its lackeys out there, countering the Wheat Belly arguments by saying things like, â€œDavis says that wheat is genetically-modified and itâ€™s not."	Davis	unknown	PERSON	rice	0.739557118	rice	0.7578125
7477	"Ossai, who is also a former Chairman of All Farmers Association (AFAN) of the state, said that â€œpork is white meatâ€ù, adding that from the nutritional point of view â€œwhite meat is better than red meatâ€ù.. ."	Jerry Ossai	Farmers Association	PERSON	meat	0.885817308	meat	0.87890625
7478	"""Barriers remain, however, with the cost of eating breakfast out of home still seen to be the main deterrent to more frequent uptake: almost seven in ten (68%) people who eat breakfast say it is too expensive to eat breakfast out of home often."	empirical observation	empirical observation	empirical observation	breakfast	0.766632947	breakfast	0.7578125
7485	"In the two weeks since Pacific Seafood announced it would consolidate its dominant position on Newport's Bayfront with the acquisition of two additional fish processing plants, the deal has generated more litigation than fish filets.. ."	Pacific Seafood	Pacific Seafood	ORG	fish	0.859375	fish	0.7578125
7486	"The study also showed consistent reductions in the incidence of breast cancer (19 to 60 per cent), endometrial cancer (23 to 60 per cent), and colorectal cancer (27 to 52 per cent) in both men and women.. ."	authority	authority	authority	cancer	0.72430099	cancer	0.71875
7487	"The study also showed consistent reductions in the incidence of breast cancer (19 to 60 per cent), endometrial cancer (23 to 60 per cent), and colorectal cancer (27 to 52 per cent) in both men and women."	authority	authority	authority	cancer	0.72430099	cancer	0.71875
7493	"â€œLung cancer is an extremely complicated disease that requires a variety of therapy options so doctors can choose an appropriate treatment for each patientâ€™s unique circumstances,â€ù said Bonnie J. Addario, founder and chair of the Bonnie J. Addario Lung Cancer Foundation, and a lung cancer survivor."	Bonnie J. Addario	unknown	PERSON	cancer	0.787052706	cancer	0.861607143
7494	"â€œLung cancer is an extremely complicated disease that requires a variety of therapy options so doctors can choose an appropriate treatment for each patientâ€™s unique circumstances,â€ù said Bonnie J. Addario, founder and chair of the Bonnie J. Addario Lung Cancer Foundation, and a lung cancer survivor."	Bonnie J. Addario	unknown	PERSON	cancer	0.90625	cancer	0.861607143
7497	"BCCI has also directed that all bottled water will be sold at MRP in its cricket stadiums,"" he told reporters here.The BCCI secretary has also issued a circular that bottled water will not be sold at price higher than the MRP, he said, adding that the ministry has started getting success after its effort against ""dual MRP"".Paswan said there are enough provisions in the existing law to deal with unfair trade practice of charging dual MRP and asked consumers to register complaints.Last month, the Consumer Affairs Department had sought explanation from companies selling packaged mineral water for having different MRPs of bottles for various places.It had directed that the sale price should be same at airports, hotels and malls."	"MRP"".Paswan"	MRP	PERSON	water	0.848557692	water	0.7578125
7500	"Meanwhile, the salmon's backers, a company named AquaBounty Technologies, have argued that their fish, which carries growth-enhancing genes from two other fish, will have all sorts of benefits."	AquaBounty Technologies	AquaBounty Technologies	ORG	fish	0.806933142	fish	0.7578125
7502	"Marlboro maker Altria Group Inc. said it has developed ways of producing reduced-nicotine cigarettes and aspires to become the U.S. market leader in noncombustible tobacco products such as e-cigarettes, ahead of potential federal requirements for tobacco companies to change their products."	Altria Group Inc.	Altria Group Inc.	ORG	cancer	0.861607143	cancer	0.7578125
7508	"â€œIf anti-GMO organic activists are successful, C4 rice will wind up on the back shelf, alongside a growing stockpile of other drought-resistant GMO crops, such as wheat and barley, scientists were forced to abandon out of fear of a ginned-up public backlash,â€ù Popoff said.. ."	Mischa Popoff	unknown	PERSON	rice	0.705412785	rice	0.7578125
7511	"Seafood lovers should also remember to freeze seafood immediately after buying it, says The Academy of Nutrition and Dietetics -- and when storing it, you should always put seafood in air-tight containers or wrap it up tightly in cellophane.. ."	The Academy of Nutrition	The Academy of Nutrition	ORG	fish	0.857700893	fish	0.7578125
7512	"Tom Dempsey, policy director for the Cape Cod Commercial Hook Fishermenâ€™s Association, supports the legislation and said the group also wants state officials to boost enforcement on fish fraud and offer more resources to help the industry trace seafood.. ."	Tom Dempsey	the Cape Cod Commercial Hook Fishermenâ€™s Association	PERSON	fish	0.819128788	fish	0.7578125
7514	"[18] Relish magazine states that pasteurized shell eggs â€œlook like real eggs, act like real eggs and taste like real eggs.â€ù[19] â€œIndependent taste tests conducted in Good Housekeeping kitchens have not been able to tell any differences between raw and pasteurized eggs,â€ù according to Food Safety News,[20] and in two out of three tastings a Chicago Tribune reporter preferred pasteurized eggs flavor over farmers market eggs."	Relish	Relish	ORG	breakfast	0.70625	breakfast	0.87890625
7516	"""Five years ago FDA scientists determined that the food from AquAdvantage salmon was 'as safe as food from conventional salmon' and that the proposed physical, biological and genetic confinement of the fish in the highlands of Panama posed minimal environmental risk,"" said animal geneticist Dr. Alison Van Eenennaam, who helped advise the FDA on the decision.. ."	Alison Van Eenennaam	FDA	PERSON	fish	0.861979167	fish	0.7578125
7517	"""Five years ago FDA scientists determined that the food from AquAdvantage salmon was 'as safe as food from conventional salmon' and that the proposed physical, biological and genetic confinement of the fish in the highlands of Panama posed minimal environmental risk,"" said animal geneticist Dr. Alison Van Eenennaam, who helped advise the FDA on the decision.. ."	Alison Van Eenennaam	FDA	PERSON	fish	0.807459677	fish	0.7578125
7520	"AquAdvantage â€œis an Atlantic salmon that contains a growth hormone from a Chinook salmon and has been given a gene from the ocean pout, an eel-like fish,â€ù reports Brady Dennis in the Washington Post."	Brady Dennis	the Washington Post	PERSON	fish	0.795036765	fish	0.7578125
7536	"""This comprehensive plan and sweeping approach to tobacco and nicotine allows the FDA to apply the powerful tools given by Congress to achieve the most significant public health impact,"" said Mitch Zeller, J.D., director of the FDA's Center for Tobacco Products."	Mitch Zeller	FDA	PERSON	cancer	0.783288043	cancer	0.7578125
7551	"With the Atlantic salmon already on the Endangered Species List, the FDA's decision to approve the commercial production of its genetically modified cousin could drive the species into extinction.And extinction is forever.Reuters: Biotech salmon safe for eating - FDA (Accessed September 8, 2010)Discovery Magazine: FDA Says Genetically Modified Salmon Is Safe to Eat; Decision Looms (Accessed September 8, 2010)BBC: 'Trojan gene' could wipe out fish (Accessed September 8, 2010)Center for Food Safety: Coalition Demands FDA Deny Approval of Controversial Genetically Engineered Fish (Accessed September 8, 2010)John Dill begun writing as a freelancer in 2007, and has since written and published hundreds of online articles."	FDA	FDA	ORG	fish	0.829464286	fish	0.838541667
7553	But a bit of hope was offered up in the second study: Swedish researchers reported a drop in the incidence of heart disease and stroke in adults with both types of diabetes.. .	authority	authority	authority	diabetes	0.808140797	diabetes	0.7578125
7554	"Asked whether water produced by the Ghana Water Company Limited is purified and safe for drinking, Mr. Lartey said the FDA does not have the mandate to check the quality of water produced by the GWCL, since that is the responsibility of the Ghana Standards Authority (GSA).. ."	James Lartey	unknown	PERSON	water	0.885817308	water	0.7578125
7558	But the GWCL has argued that its water is properly treated and that 90% of the sachet water producers only repackage the raw water without any treatment.. .	the Ghana Water Company Limited	the Ghana Water Company Limited	ORG	water	0.885817308	water	0.7578125
7560	"Coca-Cola Co. KO 1.01 % declined to discuss its sugar plans other than to email: â€œWe do have a large portfolio of brandsâ€_some sweetened with sugar and all created to meet different consumer needs,â€ù said spokesman Scott Williamson.. ."	Scott Williamson	unknown	PERSON	sugar	0.75062742	sugar	0.7578125
7562	The FDAâ€™s data show that nearly half (47 percent) of infant rice cereals sampled from retail stores in 2014 met the agencyâ€™s proposed action level of 100 ppb inorganic arsenic and a large majority (78 percent) was at or below 110 ppb inorganic arsenic.. .	FDA	FDA	ORG	rice	0.786439477	rice	0.7578125
7568	"While the rate of new strokes in both treatment groups was very low, FDA said, the study found a 50% reduction in the rate of new strokes in participants using the Amplatzer PFO Occluder plus blood-thinning medications compared to those only taking blood-thinning medications."	The US Food and Drug Administration	The US Food and Drug Administration	ORG	diabetes	0.896141131	diabetes	0.80625
7573	"Furthermore, a study from Churchward-Venne and colleagues reported that adding leucine to a â€œsuboptimalâ€ù dose (6.25 g) of whey protein resulted in rates of myofibrillar-MPS similar to those after ingestion of 25 g of whey protein at rest."	Churchward-Venne	Churchward-Venne	ORG	fat	0.786118999	fat	0.7578125
7577	Errington Cheese Ltd has stated that it â€œbelieve[s] that our cheese is safe and fit for human consumption.â€ù Samples taken by South Lanarkshire Council (SLC) from different batches of a range of different cheeses produced by Errington Cheese Ltd over a 4 month period tested positive for E. coli O157 and for other (non-O157) strains of toxin-producing E. coli.	Errington Cheese Ltd	Errington Cheese Ltd	ORG	cheese	0.896381579	cheese	0.7578125
7579	"""Our American subsidiary, Reynolds American Inc. and its operating companies are encouraged by FDA Commissioner Dr. Scott Gottliebâ€™s comments today recognizing tobacco harm reduction policies and the continuum of risk for tobacco products,"" a British American Tobacco spokesperson said.. ."	British American Tobacco	British American Tobacco	ORG	cancer	0.919270833	cancer	0.7578125
7581	"22nd Century Group, Inc. (NYSE American:XXII), a plant biotechnology company that is focused on tobacco harm reduction, stated today that the Company welcomes the announcement by the United States Food and Drug Administration (FDA) that the Agency is exercising its authority under the Family Smoking Prevention and Tobacco Control Act to mandate lower nicotine â€“ at non-addictive levels â€“ in combustible cigarettes sold in the United States.. ."	Inc. (	Inc. (	ORG	cancer	0.899003623	cancer	0.80625
7590	Some studies have shown that synthetic melatonin can help ones sleep-phase cycles slightly â€“ helping during jet lag or similar situations â€“ when our sleep cycles get messed up.. .	authority	authority	authority	coffee	0.783532418	coffee	0.7578125
7593	"HYDERABAD: Private dairy producers are wooing cattle farmers with higher remuneration, interest-free loans and animal healthcare facilities to ensure steady supply of raw milk.Industry executives and analysts say the share of the organised dairy segment in the Indian dairy industry is expected to improve from about 19 per cent last year.Private dairy firms including Prabhat Dairy, Heritage Foods and Sterling Agro have been giving monetary advances and animal healthcare facilities, among others benefits, to attract more farmers into their network.Experts say the strategy is working as annual milk procurement has increased by 10-15 per cent.Kishore Nirmal, director of Prabhat Dairy, said, ""We have been able to bring in as many as 4,500 farmers under our fold in Ahmednagar and Raigarh districts of Maharashtra in the past couple of months by providing monetary advances without interest and making prompt payments by way of Vodafone M-pesa's business correspondents."	Kishore Nirmal	Prabhat Dairy	PERSON	milk	0.966594828	milk	0.892361111
7596	"Tick bites can make people allergic to red meat, researchers say."	authority	authority	authority	meat	0.737664474	meat	0.7578125
7601	"The BHF polled over 2,100 UK parents with children aged 16 and under, and found more than two fifths (43%) of parents with children aged 4 to 16 say they are badgered by their children at least once a week.. ."	UK	UK	ORG	children	0.782226563	children	0.7578125
7604	"The fallout may be felt on grocery shelves throughout the country in the coming months as prices of artichokes, celery, broccoli and cauliflower could rise at least 10 percent, said Milt McGiffen, a vegetable specialist at the University of California at Riverside."	Milt McGiffen	the University of California at	PERSON	water	0.814164243	potatoes	0.80625
7605	"â€œWe live in this â€˜Cadillac Desertâ€™ where we have a chronic undersupply of water,â€ù said David Goldhamer, a water-management specialist, referring to a 1986 book that criticized government-driven development policies in the West for degrading the environment."	David Goldhamer	unknown	PERSON	water	0.814164243	water	0.7578125
7606	"Seeking comments from stakeholders, FSSAI said in a draft notification that â€œin case the quantity of fruit juice is below 10 per cent but not less than 5 per cent (2.5 per cent in case of lime or lemon), the product shall be called â€˜carbonated beverage with fruit juiceâ€™.â€ù."	Food Safety and Standards Authority of India	Food Safety and Standards Authority of India	ORG	fruit	0.714208477	fruit	0.861607143
7607	"In such cases the requirement of TSS (Total Soluble Solids) shall not apply and the quantity of fruit juice shall be declared on the label, Food Safety and Standards Authority of India (FSSAI) said."	Food Safety and Standards Authority of India	Food Safety and Standards Authority of India	ORG	fruit	0.714208477	fruit	0.7578125
7611	Providers who utilize the Lead Care II Analyzer to perform blood lead tests should report the Lead Care II Analyzer generated results to the GHHLPPP by doing weekly uploads of their tests to the to the State Electronic Notifiable Disease Surveillance System (SendSS).	the Lead Care II Analyzer	the Lead Care II Analyzer	ORG	obesity	0.925480769	obesity	0.7578125
